Collected Date,Received Location,Test,Method,Unit,Environmental Location,Environmental Collector,Analyte,Value,Quant Limit
2016-09-09 14:00,Lakeside,solids,usgs i-3765-85suspen,mg/L,spirit lake ctl,heimdal dennis,Total Suspended Solids,2600,1
2016-09-09 14:00,Lakeside,nitrate + nitrite,epa 127b rev 0,mg/L,spirit lake ctl,heimdal dennis,Nitrate + Nitrite nitrogen as N,0.36,0.05
2016-09-09 14:00,Lakeside,tkn,epa 111b rev 0,mg/L,spirit lake ctl,heimdal dennis,Total Kjeldahl Nitrogen as N,14,0.3
2016-09-09 14:00,Lakeside,phosphorus,epa 119b rev 0,mg/L,spirit lake ctl,heimdal dennis,Phosphorus,4.0,0.02
2016-09-16 14:00,Lakeside,solids,usgs i-3765-85suspen,mg/L,spirit lake ctl,heimdal dennis,Total Suspended Solids,3500,1
2016-09-16 14:00,Lakeside,nitrate + nitrite,epa 127b rev 0,mg/L,spirit lake ctl,heimdal dennis,Nitrate + Nitrite nitrogen as N,0.98,0.05
2016-09-16 14:00,Lakeside,tkn,epa 111b rev 0,mg/L,spirit lake ctl,heimdal dennis,Total Kjeldahl Nitrogen as N,17,0.3
2016-09-16 14:00,Lakeside,phosphorus,epa 119b rev 0,mg/L,spirit lake ctl,heimdal dennis,Phosphorus,3.8,0.02
2016-10-07 12:00,Lakeside,solids,usgs i-3765-85suspen,mg/L,spirit lake ctl,heimdal dennis,Total Suspended Solids,630,1
2016-10-07 12:00,Lakeside,nitrate + nitrite,epa 127b rev 0,mg/L,spirit lake ctl,heimdal dennis,Nitrate + Nitrite nitrogen as N,0.37,0.05
2016-10-07 12:00,Lakeside,tkn,epa 111b rev 0,mg/L,spirit lake ctl,heimdal dennis,Total Kjeldahl Nitrogen as N,6,0.3
2016-10-07 12:00,Lakeside,phosphorus,epa 119b rev 0,mg/L,spirit lake ctl,heimdal dennis,Phosphorus,1.8,0.02
2016-10-26 16:30,Lakeside,solids,usgs i-3765-85suspen,mg/L,spirit ctl,heimdal dennis,Total Suspended Solids,780,1
2017-05-01 14:00,Lakeside,solids,usgs i-3765-85suspen,mg/L,spirit lake ctl,heimdal dennis,Total Suspended Solids,3000,1
2017-05-01 14:00,Lakeside,nitrate + nitrite,epa 127b rev 0,mg/L,spirit lake ctl,heimdal dennis,Nitrate + Nitrite nitrogen as N,0.17,0.05
2017-05-01 14:00,Lakeside,tkn,epa 111b rev 0,mg/L,spirit lake ctl,heimdal dennis,Total Kjeldahl Nitrogen as N,13,0.3
2017-05-01 14:00,Lakeside,phosphorus,epa 119b rev 0,mg/L,spirit lake ctl,heimdal dennis,Phosphorus,2.7,0.02
2017-05-19 13:30,Lakeside,solids,sm 2540 d suspended,mg/L,spirit lake cti,heimdal dennis,Total Suspended Solids,4800,1
2017-05-19 13:30,Lakeside,nitrate + nitrite,epa 127b rev 0,mg/L,spirit lake cti,heimdal dennis,Nitrate + Nitrite nitrogen as N,1.9,0.05
2017-05-19 13:30,Lakeside,tkn,epa 111b rev 0,mg/L,spirit lake cti,heimdal dennis,Total Kjeldahl Nitrogen as N,30,0.3
2017-05-19 13:30,Lakeside,phosphorus,epa 119b rev 0,mg/L,spirit lake cti,heimdal dennis,Phosphorus,4.5,0.02
2017-05-23 14:10,Lakeside,nitrate + nitrite,epa 127b rev 0,mg/L,spirit lake ctl,heimdal dennis,Nitrate + Nitrite nitrogen as N,1.3,0.05
2017-05-23 14:10,Lakeside,solids,sm 2540 d suspended,mg/L,spirit lake ctl,heimdal dennis,Total Suspended Solids,320,1
2017-05-23 14:10,Lakeside,tkn,epa 111b rev 0,mg/L,spirit lake ctl,heimdal dennis,Total Kjeldahl Nitrogen as N,3.9,0.3
2017-05-23 14:10,Lakeside,phosphorus,epa 119b rev 0,mg/L,spirit lake ctl,heimdal dennis,Phosphorus,1.3,0.02
2017-06-28 13:30,Lakeside,nitrate + nitrite,epa 127b rev 0,mg/L,spirit lake ctl,heimdal dennis,Nitrate + Nitrite nitrogen as N,0.68,0.05
2017-06-28 13:30,Lakeside,solids,sm 2540 d suspended,mg/L,spirit lake ctl,heimdal dennis,Total Suspended Solids,3540,1
2017-06-28 13:30,Lakeside,tkn,epa 111b rev 0,mg/L,spirit lake ctl,heimdal dennis,Total Kjeldahl Nitrogen as N,20,0.3
2017-06-28 13:30,Lakeside,phosphorus,epa 119b rev 0,mg/L,spirit lake ctl,heimdal dennis,Phosphorus,3.3,0.02
2017-08-22 14:50,Lakeside,nitrate + nitrite,epa 127b rev 0,mg/L,spirit lake ctl,heimdal dennis,Nitrate + Nitrite nitrogen as N,0.12,0.05
2017-08-22 14:50,Lakeside,solids,sm 2540 d suspended,mg/L,spirit lake ctl,heimdal dennis,Total Suspended Solids,1630,1
2017-08-22 14:50,Lakeside,tkn,epa 111b rev 0,mg/L,spirit lake ctl,heimdal dennis,Total Kjeldahl Nitrogen as N,9.6,0.3
2017-08-22 14:50,Lakeside,phosphorus,epa 119b rev 0,mg/L,spirit lake ctl,heimdal dennis,Phosphorus,1.9,0.02
