watershed,site,acres,flumesize,flowat035m,sqmm,litersperwatershedonemmdeep,secondsforonemmofwaterat035m,minutesforonemmofwaterat035m
eiatrt,eia,23.3,2.5,1.015004059,94291754633,94291.75463,92897.90897,1548.298483
eiactl,eia,11.2,2.5,1.015004059,45324791926,45324.79193,44654.78886,744.246481
mcnayctl,mcnay,24.1,2.5,1.015004059,97529239770,97529.23977,96087.53674,1601.458946
mcnaytrt,mcnay,6.1,2,0.955730989,24685824174,24685.82417,25829.25996,430.487666
armtrt,arm,17.8,2.5,1.015004059,72034044312,72034.04431,70969.21801,1182.8203
armctl,arm,16.5,2.5,1.015004059,66773130963,66773.13096,65786.07287,1096.434548
worletrt,worle,14.09,2.5,1.015004059,57020206986,57020.20699,56177.3192,936.2886533
worlectl,worle,13.43,2.5,1.015004059,54349281747,54349.28175,53545.87628,892.4312714
rhodestrt,rhodes,8.27,2.5,1.015004059,33467502610,33467.50261,32972.77713,549.5462855
rhodesctl,rhodes,6.75,2,0.955730989,27316280849,27316.28085,28581.55815,476.3593025
spiritctl,spirit,21.8,2.5,1.015004059,88221470000,88221.47,86917.35689,1448.622615
marshctl,marsh,15.87,2.5,1.015004059,64223611417,64223.61142,63274.241,1054.570683
marshtrt,marsh,5.71,2.5,1.015004059,23107550170,23107.55017,22765.96825,379.4328041
